pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,activation,193.2,24681.31428571429,36,571,5,False
REACTOME_SIGNALING_BY_HEDGEHOG,activation,195.4,8214.114285714284,56,341,5,False
REACTOME_DNA_REPLICATION_PRE_INITIATION,activation,197.53333333333333,31826.69523809524,22,723,5,False
REACTOME_CELL_CELL_COMMUNICATION,activation,200.73333333333332,25643.780952380963,53,526,5,False
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,activation,201.33333333333334,10752.238095238094,81,455,5,False
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,activation,203.0,13599.0,31,396,5,False
REACTOME_HEDGEHOG_OFF_STATE,activation,203.13333333333333,10948.695238095239,73,396,5,False
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,activation,205.53333333333333,24595.552380952384,44,519,5,False
REACTOME_INTERLEUKIN_1_SIGNALING,activation,205.86666666666667,12244.552380952384,26,356,5,False
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,activation,207.6,10791.685714285713,43,441,5,False
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,activation,207.8,5987.742857142855,78,342,5,False
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,activation,208.2,18087.457142857143,52,542,5,False
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,activation,209.0,8089.428571428572,77,458,5,False
REACTOME_SARS_COV_1_INFECTION,activation,211.8,43107.6,62,898,5,False
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,activation,213.53333333333333,6643.409523809526,88,365,5,False
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,activation,215.33333333333334,5938.523809523809,100,358,5,False
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,activation,216.13333333333333,20807.98095238095,48,609,5,False
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,activation,217.93333333333334,6173.209523809522,109,365,5,False
REACTOME_CARDIAC_CONDUCTION,activation,218.2,11717.599999999997,79,447,5,False
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,activation,218.6,6448.685714285714,88,436,5,False
REACTOME_TRNA_PROCESSING,activation,220.4,9739.685714285715,83,452,5,False
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,activation,220.73333333333332,11325.638095238097,96,476,5,False
