pathway_name,method,mean_rank,rank_variance,min_rank,max_rank,n_folds,is_rna_processing
REACTOME_MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,integrated_gradients,160.53333333333333,18265.266666666666,31,535,5,False
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,integrated_gradients,163.86666666666667,7178.552380952381,72,371,5,False
REACTOME_PTEN_REGULATION,integrated_gradients,164.86666666666667,31344.409523809525,27,744,5,False
REACTOME_MITOTIC_PROMETAPHASE,integrated_gradients,165.73333333333332,18053.780952380952,17,515,5,False
REACTOME_NEDDYLATION,integrated_gradients,165.86666666666667,19441.69523809524,49,469,5,False
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,integrated_gradients,165.93333333333334,15881.066666666668,43,517,5,False
REACTOME_CELL_CYCLE_CHECKPOINTS,integrated_gradients,167.4,39422.82857142857,18,817,5,False
REACTOME_CARDIAC_CONDUCTION,integrated_gradients,170.93333333333334,42921.06666666666,28,781,5,False
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,integrated_gradients,172.0,14054.42857142857,61,485,5,False
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,integrated_gradients,172.06666666666666,76306.78095238094,47,1150,5,False
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,integrated_gradients,176.86666666666667,16909.980952380953,38,435,5,False
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE,integrated_gradients,177.2,28978.31428571429,32,554,5,False
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,integrated_gradients,178.86666666666667,19344.695238095235,53,614,5,False
REACTOME_S_PHASE,integrated_gradients,180.86666666666667,27433.838095238094,23,655,5,False
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,integrated_gradients,181.0,11987.142857142857,64,433,5,False
REACTOME_SIGNALING_BY_NOTCH,integrated_gradients,182.86666666666667,36202.8380952381,32,816,5,False
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,integrated_gradients,183.53333333333333,11497.266666666666,62,444,5,False
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,integrated_gradients,184.8,17771.457142857143,32,490,5,False
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,integrated_gradients,188.46666666666667,30238.40952380952,36,596,5,False
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,integrated_gradients,189.6,28696.828571428567,51,576,5,False
REACTOME_G2_M_CHECKPOINTS,integrated_gradients,189.8,42507.31428571429,45,890,5,False
REACTOME_DNA_REPAIR,integrated_gradients,190.26666666666668,74400.78095238096,14,822,5,False
REACTOME_APOPTOSIS,integrated_gradients,191.73333333333332,35121.63809523809,45,645,5,False
REACTOME_HEDGEHOG_OFF_STATE,integrated_gradients,192.6,16584.97142857143,45,435,5,False
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,integrated_gradients,193.13333333333333,10891.838095238092,105,479,5,False
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,integrated_gradients,196.66666666666666,92836.23809523808,18,1217,5,False
REACTOME_DEATH_RECEPTOR_SIGNALING,integrated_gradients,197.46666666666667,30373.40952380952,39,579,5,False
REACTOME_KERATINIZATION,integrated_gradients,199.0,29919.285714285706,86,789,5,False
REACTOME_HIV_LIFE_CYCLE,integrated_gradients,206.0,24268.14285714286,39,551,5,False
REACTOME_TRANSLATION,integrated_gradients,208.13333333333333,30641.55238095238,41,700,5,False
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,integrated_gradients,209.93333333333334,76323.20952380952,26,1140,5,False
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,integrated_gradients,211.6,51652.40000000001,33,765,5,False
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS,integrated_gradients,213.06666666666666,48010.49523809523,53,914,5,False
REACTOME_SUMOYLATION,integrated_gradients,213.53333333333333,50667.69523809525,22,699,5,False
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,integrated_gradients,215.06666666666666,72304.78095238096,52,1119,5,False
REACTOME_SLC_TRANSPORTER_DISORDERS,integrated_gradients,215.46666666666667,16816.123809523808,59,506,5,False
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,integrated_gradients,216.66666666666666,28670.809523809523,57,716,5,False
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE,integrated_gradients,219.6,8885.828571428572,65,406,5,False
REACTOME_REGULATION_OF_TP53_ACTIVITY,integrated_gradients,221.86666666666667,33458.12380952381,30,703,5,False
REACTOME_INTERFERON_SIGNALING,integrated_gradients,223.93333333333334,116589.20952380956,41,1138,5,False
REACTOME_GASTRULATION,integrated_gradients,226.53333333333333,15448.123809523806,76,455,5,False
REACTOME_RSV_HOST_INTERACTIONS,integrated_gradients,227.4,18442.971428571433,86,605,5,False
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,integrated_gradients,227.66666666666666,22750.523809523813,85,669,5,False
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,integrated_gradients,229.13333333333333,89284.1238095238,42,1050,5,False
REACTOME_MITOCHONDRIAL_BIOGENESIS,integrated_gradients,230.06666666666666,6562.352380952381,121,378,5,False
REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,integrated_gradients,230.2,26199.314285714285,70,651,5,False
REACTOME_CILIUM_ASSEMBLY,integrated_gradients,232.26666666666668,88354.78095238096,20,1073,5,False
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,integrated_gradients,232.73333333333332,24587.780952380952,37,602,5,False
REACTOME_SIGNALING_BY_HEDGEHOG,integrated_gradients,233.33333333333334,14506.095238095239,33,496,5,False
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,integrated_gradients,234.26666666666668,15326.780952380956,63,459,5,False
REACTOME_PROTEIN_LOCALIZATION,integrated_gradients,234.4,100584.39999999995,48,1286,5,False
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,integrated_gradients,235.13333333333333,99302.1238095238,26,1260,5,False
REACTOME_AUTOPHAGY,integrated_gradients,235.53333333333333,58106.980952380945,11,927,5,False
REACTOME_L1CAM_INTERACTIONS,integrated_gradients,235.6,39076.971428571436,31,730,5,False
REACTOME_METABOLISM_OF_NUCLEOTIDES,integrated_gradients,236.86666666666667,37170.40952380952,55,559,5,False
REACTOME_PCP_CE_PATHWAY,integrated_gradients,237.06666666666666,18871.638095238097,17,573,5,False
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,integrated_gradients,237.46666666666667,81976.5523809524,27,1234,5,False
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,integrated_gradients,238.13333333333333,14298.409523809521,44,444,5,False
REACTOME_MRNA_SPLICING,integrated_gradients,238.86666666666667,71736.8380952381,40,899,5,True
REACTOME_GLUCOSE_METABOLISM,integrated_gradients,239.13333333333333,18118.695238095235,98,516,5,False
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,integrated_gradients,241.06666666666666,66235.78095238097,20,990,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,integrated_gradients,241.73333333333332,51454.92380952382,48,972,5,False
REACTOME_ANTIMICROBIAL_PEPTIDES,integrated_gradients,242.8,51033.17142857142,31,721,5,False
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,integrated_gradients,243.46666666666667,74860.55238095237,57,1125,5,False
REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,integrated_gradients,248.2,82342.02857142857,29,1066,5,False
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,integrated_gradients,249.4,16350.114285714284,82,510,5,False
REACTOME_COLLAGEN_FORMATION,integrated_gradients,249.53333333333333,54094.8380952381,71,977,5,False
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES,integrated_gradients,249.93333333333334,87885.92380952381,68,1251,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,integrated_gradients,250.66666666666666,140055.52380952382,24,1137,5,False
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,integrated_gradients,250.73333333333332,68001.20952380952,39,893,5,False
REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_PATHWAY,integrated_gradients,253.53333333333333,46675.55238095238,62,896,5,False
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE,integrated_gradients,253.66666666666666,20460.380952380954,53,490,5,False
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,integrated_gradients,255.4,96318.54285714286,27,1022,5,False
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,integrated_gradients,255.6,85584.97142857143,60,1030,5,False
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS,integrated_gradients,257.4,7781.828571428572,67,459,5,False
REACTOME_PHOSPHOLIPID_METABOLISM,integrated_gradients,259.26666666666665,126992.78095238094,47,1141,5,False
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,integrated_gradients,259.3333333333333,17851.380952380954,88,579,5,False
REACTOME_TRNA_PROCESSING,integrated_gradients,261.4,24726.399999999998,80,646,5,False
REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS,integrated_gradients,261.93333333333334,29239.352380952383,46,616,5,False
REACTOME_CELL_JUNCTION_ORGANIZATION,integrated_gradients,262.06666666666666,31474.066666666673,69,618,5,False
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,integrated_gradients,262.4,27119.971428571436,36,610,5,False
REACTOME_METABOLISM_OF_STEROIDS,integrated_gradients,262.93333333333334,81545.06666666667,73,1035,5,False
REACTOME_HOMOLOGY_DIRECTED_REPAIR,integrated_gradients,263.4,24806.685714285708,66,518,5,False
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,integrated_gradients,263.93333333333334,32746.49523809524,39,640,5,False
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,integrated_gradients,265.6,87789.54285714286,57,1234,5,False
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,integrated_gradients,266.8,49717.8857142857,51,894,5,False
REACTOME_COMPLEMENT_CASCADE,integrated_gradients,267.06666666666666,92979.06666666667,72,1174,5,False
REACTOME_RRNA_PROCESSING,integrated_gradients,267.46666666666664,46122.69523809525,58,940,5,False
REACTOME_RAB_REGULATION_OF_TRAFFICKING,integrated_gradients,269.4,31403.54285714286,50,627,5,False
REACTOME_KEAP1_NFE2L2_PATHWAY,integrated_gradients,272.8,108662.45714285714,59,1145,5,False
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,integrated_gradients,276.4,80400.11428571427,54,1089,5,False
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,integrated_gradients,278.6,40604.4,90,751,5,False
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,integrated_gradients,278.93333333333334,87117.20952380952,114,1021,5,False
REACTOME_SYNTHESIS_OF_DNA,integrated_gradients,281.6,108971.25714285715,50,1055,5,False
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,integrated_gradients,283.73333333333335,72389.20952380954,63,1091,5,False
REACTOME_MAPK6_MAPK4_SIGNALING,integrated_gradients,288.4,37576.25714285715,128,845,5,False
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY,integrated_gradients,288.93333333333334,26055.923809523807,77,604,5,False
REACTOME_O_LINKED_GLYCOSYLATION,integrated_gradients,289.73333333333335,28583.495238095238,88,689,5,False
REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS,integrated_gradients,290.46666666666664,63326.40952380952,57,860,5,False
REACTOME_ESR_MEDIATED_SIGNALING,integrated_gradients,290.6666666666667,104861.23809523809,41,1247,5,False
REACTOME_OPIOID_SIGNALLING,integrated_gradients,290.8666666666667,41856.1238095238,78,850,5,False
REACTOME_EPH_EPHRIN_SIGNALING,integrated_gradients,291.53333333333336,110805.98095238095,74,1227,5,False
REACTOME_CELL_CELL_COMMUNICATION,integrated_gradients,293.93333333333334,111028.20952380952,45,1195,5,False
REACTOME_REPRODUCTION,integrated_gradients,295.73333333333335,71151.78095238096,109,1011,5,False
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,integrated_gradients,296.1333333333333,46049.69523809523,107,787,5,False
